name,iata_code
Los Angeles International Airport,LAX
Chicago O'Hare International Airport,ORD
John F Kennedy International Airport,JFK
Hartsfield Jackson Atlanta International Airport,ATL
San Francisco International Airport,SFO
Newark Liberty International Airport,EWR
Dallas Fort Worth International Airport,DFW
Harry Reid International Airport,LAS
Orlando International Airport,MCO
Denver International Airport,DEN
Washington Dulles International Airport,IAD
LaGuardia Airport,LGA
Miami International Airport,MIA
Seattle–Tacoma International Airport,SEA
Phoenix Sky Harbor International Airport,PHX
Logan International Airport,BOS
Philadelphia International Airport,PHL
Charlotte Douglas International Airport,CLT
George Bush Intercontinental Houston Airport,IAH
Ronald Reagan Washington National Airport,DCA
Detroit Metropolitan Wayne County Airport,DTW
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MSP
Salt Lake City International Airport,SLC
Fort Lauderdale Hollywood International Airport,FLL
Chicago Midway International Airport,MDW
Baltimore/Washington International Thurgood Marshall Airport,BWI
San Diego International Airport,SAN
St. Louis Lambert International Airport,STL
Daniel K Inouye International Airport,HNL
Portland International Airport,PDX
Louis Armstrong New Orleans International Airport,MSY
Tampa International Airport,TPA
Nashville International Airport,BNA
Cincinnati Northern Kentucky International Airport,CVG
Raleigh Durham International Airport,RDU
Austin Bergstrom International Airport,AUS
Pittsburgh International Airport,PIT
San Antonio International Airport,SAT
Norman Y. Mineta San Jose International Airport,SJC
Kansas City International Airport,MCI
San Francisco Bay Oakland International Airport,OAK
John Wayne Orange County International Airport,SNA
Memphis International Airport,MEM
Cleveland Hopkins International Airport,CLE
Indianapolis International Airport,IND
Albuquerque International Sunport,ABQ
John Glenn Columbus International Airport,CMH
General Mitchell International Airport,MKE
Jacksonville International Airport,JAX
Buffalo Niagara International Airport,BUF
Bradley International Airport,BDL
Ted Stevens Anchorage International Airport,ANC
Will Rogers World Airport,OKC
Kahului International Airport,OGG
Sacramento International Airport,SMF
Eppley Airfield,OMA
Palm Beach International Airport,PBI
Louisville Muhammad Ali International Airport,SDF
Reno Tahoe International Airport,RNO
Norfolk International Airport,ORF
Theodore Francis Green State Airport,PVD
Richmond International Airport,RIC
Savannah Hilton Head International Airport,SAV
Southwest Florida International Airport,RSW
Ontario International Airport,ONT
Syracuse Hancock International Airport,SYR
Tulsa International Airport,TUL
Portland International Jetport,PWM
Sarasota Bradenton International Airport,SRQ
Orlando Sanford International Airport,SFB
Joint Base Andrews,ADW
